iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
PHL,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,640.031834,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PHL,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,1075.434769,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PHL,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,259304.924772,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PHL,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,199720.609542,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PLW,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,240848.2916,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PLW,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,2.571916,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PLW,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,11.191393,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PLW,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,242467.354436,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PLW,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,241843.208344,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PNG,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,11.777915,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PNG,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,100.271934,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PNG,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,11532.212016,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PNG,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,5928.761627,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
POL,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,6532.318939,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
POL,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,3843.6034,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRI,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,5.880764,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRI,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,188.772534,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRI,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,17409.414552,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRI,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,6844.033412,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,1057147.221,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,50.956300000000006,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,36.505009,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,1073666.104956,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,1071672.780752,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRT,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,199.99122,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRT,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,1374.403913,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRY,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,3176.667,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRY,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,0.025722,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRY,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,0.12861,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRY,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,3194.260848,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PRY,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,3187.08441,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PYF,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,2.1704760000000003,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PYF,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,10.886281,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PYF,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,1487.4532679999998,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
PYF,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,879.9920079999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.188685
REU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,3.83135,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
REU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,16.718951999999998,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
REU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,2415.868368,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
REU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,1483.438406,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
ROU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,278.69190199999997,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
ROU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,588.190323,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
RUS,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,5069.1779559999995,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
